Application Name,Ministry,Application Owner,Technical Fit Score,Architect / SME,T1 - Platform / Product Footprint,T2 - Application Development Platform,T3 - Platform Portability,T4 - Configurability & Extensibility,T5 - Support for Modern UX,T6 - Security Controls,T7 - Security Controls for Data Sensitivity,T8 - Identity Assurance,T9 - Resilience & Recovery,T10 - Observability & Manageability,T11 - Vendor and Support Availability,T12 - Integration Capabilities,T13 - Integrations,T14 - Data Accessibility,Notes,Modified,Modified By,Item Type,Path
AccuMap,Energy and Resources,Ryan Morelli-AccountDeleted,29.5,,2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.,2 - Aging / Limited Modernization: Behind current standards (6 to 10 years old).,1 - Not Portable: Hard-coded to specific hardware or MAC/IP addresses.,"2 - Limited: Requires a developer, risks are possible with the upgrade.",3 - Browser (Non-Mobile): Browser-based but not responsive; difficult on tablets.,3 - Basic / Compliant: Security Controls met with manual effort.,3 - Unknown / Partial: Unknown status.,2 - Simple User ID and Password: App-specific username/password (local DB); no password complexity rules.,1 - Best Efforts / No Commitment: No Disaster Recovery plan; rebuild from scratch required; data loss likely.,"3 - Adequate: Standard Troubleshooting tools, basic reporting, limited automation.","1 - No Support (Hero): ""Hero"" support; no documentation.","2 - Mixed / Inconsistent: Mix of Modern Interfaces and Legacy Batch, but monitoring is incomplete.",4 - 1-10 Integrations: Low complexity; clear data flow diagrams exist.,2 - Limited Through Reports Only: Data is accessed by running one or more reports.,,2/17/2026 14:03,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
IRIS - Integrated Resource Information System,Energy and Resources,Jenni Gasson,48,"Ryan, Glenn, Stuart, Barrie, Michele",2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.,1 - Legacy / Obsolete: End of life or unsupported (10+ years old).,1 - Not Portable: Hard-coded to specific hardware or MAC/IP addresses.,"2 - Limited: Requires a developer, risks are possible with the upgrade.",3 - Browser (Non-Mobile): Browser-based but not responsive; difficult on tablets.,3 - Basic / Compliant: Security Controls met with manual effort.,3 - Unknown / Partial: Unknown status.,3 - Third Party / Mixed: Uses social login or disjointed directories; not fully integrated.,1 - Best Efforts / No Commitment: No Disaster Recovery plan; rebuild from scratch required; data loss likely.,"3 - Adequate: Standard Troubleshooting tools, basic reporting, limited automation.",4 - Good Support: Common skill set (Java/.NET); multiple vendors available.,4 - Managed Interface: Managed via API Gateway; traffic is throttled and monitored.,4 - 1-10 Integrations: Low complexity; clear data flow diagrams exist.,5 - Modern self-serve (API Based): Users have access to built-in Data APIs.,,2/17/2026 14:16,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
IRIS Business Intelligence,Energy and Resources,Jenni Gasson,65.8,"Ryan, Barrie, Glenn, Stuart, Michele",3 - Virtualized N-Tier: Standard Virtual Machines (Infrastructure as a Service); manual scaling.,2 - Aging / Limited Modernization: Behind current standards (6 to 10 years old).,4 - High Portability: Standard Virtual Machine/OS; can move to any hypervisor with minor config changes.,3 - Moderate Customization: Some admin settings available; core logic requires developer.,4 - Multi Device: Adapts layout to Tablet/Mobile browsers automatically.,4 - Strong: Automated patching; regular penetration testing; encryption at rest & transit.a,"4 - Capable: Capable of implementing controls, but haven't been implemented.",3 - Third Party / Mixed: Uses social login or disjointed directories; not fully integrated.,4 - Passive Failover: Redundant setup (Passive); controlled-failover; Recovery in under 4 hours.,"4 - Strong: Continuous monitoring, Detailed logs, and basic automation through scripts for some components.",5 - Strong Support: Vendor contract with guaranteed response times or strong community support.,4 - Managed Interface: Managed via API Gateway; traffic is throttled and monitored.,3 - 10-20 Integrations: Moderate complexity; manageable with standard testing.,3 - Export Import Capabilities: Users have access to an export capability.,,2/17/2026 14:29,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
Coal Files,Energy and Resources,Colin Card,44.3,,2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.,3 - Transitional: Partially modernized (3-6 years old).,"3 - Lift & Shift Only: Virtualizable, but requires same OS/Network config (no refactoring).","2 - Limited: Requires a developer, risks are possible with the upgrade.",2 - Thick Client (Desktop): Mouse/Keyboard required; breaks on mobile screens.,3 - Basic / Compliant: Security Controls met with manual effort.,3 - Unknown / Partial: Unknown status.,4 - Corporate Single Sign-On: Integrated with Corporate Identity Provider (SSO); standard policies apply.,1 - Best Efforts / No Commitment: No Disaster Recovery plan; rebuild from scratch required; data loss likely.,2 - Limited: Minimal alerting capabilities and troubleshooting is basic and reactive.,3 - Basic Support: Internal team supports it best-effort; documentation is patchy.,3 - Monitored Legacy: Scripts or batch jobs with error logging; alerts IT on failure.,5 - Standalone: No external dependencies; fully encapsulated utility.,3 - Export Import Capabilities: Users have access to an export capability.,,2/17/2026 16:01,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
Daily Drilling Activity Report Archive,Energy and Resources,Emma Zhou,35.5,"Barrie, Glenn, Stuart, Ryan, Michele",2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.,2 - Aging / Limited Modernization: Behind current standards (6 to 10 years old).,"3 - Lift & Shift Only: Virtualizable, but requires same OS/Network config (no refactoring).","2 - Limited: Requires a developer, risks are possible with the upgrade.",2 - Thick Client (Desktop): Mouse/Keyboard required; breaks on mobile screens.,2 - Partially Non Compliant: Some controls can't be implemented (Encryption).,1 - Incapable: Cannot restrict view/edit by role; all users see all data. No workaround.,2 - Simple User ID and Password: App-specific username/password (local DB); no password complexity rules.,1 - Best Efforts / No Commitment: No Disaster Recovery plan; rebuild from scratch required; data loss likely.,1 - Poor: Lacks meaningful monitoring tools for troubleshooting.,4 - Good Support: Common skill set (Java/.NET); multiple vendors available.,3 - Monitored Legacy: Scripts or batch jobs with error logging; alerts IT on failure.,5 - Standalone: No external dependencies; fully encapsulated utility.,3 - Export Import Capabilities: Users have access to an export capability.,,2/17/2026 16:04,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
GeoAtlas,Energy and Resources,Colin Card,29.5,"Barrie, Glenn, Stuart, Ryan, Michele",2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.,2 - Aging / Limited Modernization: Behind current standards (6 to 10 years old).,1 - Not Portable: Hard-coded to specific hardware or MAC/IP addresses.,"2 - Limited: Requires a developer, risks are possible with the upgrade.",3 - Browser (Non-Mobile): Browser-based but not responsive; difficult on tablets.,3 - Basic / Compliant: Security Controls met with manual effort.,3 - Unknown / Partial: Unknown status.,2 - Simple User ID and Password: App-specific username/password (local DB); no password complexity rules.,1 - Best Efforts / No Commitment: No Disaster Recovery plan; rebuild from scratch required; data loss likely.,"3 - Adequate: Standard Troubleshooting tools, basic reporting, limited automation.","1 - No Support (Hero): ""Hero"" support; no documentation.","2 - Mixed / Inconsistent: Mix of Modern Interfaces and Legacy Batch, but monitoring is incomplete.",4 - 1-10 Integrations: Low complexity; clear data flow diagrams exist.,2 - Limited Through Reports Only: Data is accessed by running one or more reports.,,2/17/2026 16:07,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
GeoLogic Geoscout,Energy and Resources,Ryan Morelli-AccountDeleted,18,"Barrie, Glenn, Stuart, Ryan, Michele",2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.,1 - Legacy / Obsolete: End of life or unsupported (10+ years old).,1 - Not Portable: Hard-coded to specific hardware or MAC/IP addresses.,"2 - Limited: Requires a developer, risks are possible with the upgrade.",1 - Legacy / Fixed: Green Screen / Mainframe / Fixed Resolution (Non-resizable).,1 - Non Compliant: Patches no longer available. Can't implement modern controls.,3 - Unknown / Partial: Unknown status.,"1 - Shared User ID and Password: Custom, no ID verification; no individual tracking.",1 - Best Efforts / No Commitment: No Disaster Recovery plan; rebuild from scratch required; data loss likely.,2 - Limited: Minimal alerting capabilities and troubleshooting is basic and reactive.,"2 - Limited Support: Specific/Legacy skill set required (e.g., COBOL); hard to hire.","2 - Mixed / Inconsistent: Mix of Modern Interfaces and Legacy Batch, but monitoring is incomplete.",4 - 1-10 Integrations: Low complexity; clear data flow diagrams exist.,1 - Complex Data Model: Requires a technical data analyst to assist the business.,,2/17/2026 16:14,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
GeoPlanner,Energy and Resources,Jane Mcleod,36,"Barrie, Glenn, Stuart, Ryan, Michele",2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.,1 - Legacy / Obsolete: End of life or unsupported (10+ years old).,"2 - Low Portability: Requires specific legacy OS or non-standard drivers; ""fragile"" move.",3 - Moderate Customization: Some admin settings available; core logic requires developer.,4 - Multi Device: Adapts layout to Tablet/Mobile browsers automatically.,3 - Basic / Compliant: Security Controls met with manual effort.,3 - Unknown / Partial: Unknown status.,3 - Third Party / Mixed: Uses social login or disjointed directories; not fully integrated.,1 - Best Efforts / No Commitment: No Disaster Recovery plan; rebuild from scratch required; data loss likely.,2 - Limited: Minimal alerting capabilities and troubleshooting is basic and reactive.,"2 - Limited Support: Specific/Legacy skill set required (e.g., COBOL); hard to hire.","2 - Mixed / Inconsistent: Mix of Modern Interfaces and Legacy Batch, but monitoring is incomplete.",4 - 1-10 Integrations: Low complexity; clear data flow diagrams exist.,3 - Export Import Capabilities: Users have access to an export capability.,,2/17/2026 16:16,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
Test Holes,Energy and Resources,Scott Weaver,35.5,"Barrie, Glenn, Stuart, Ryan, Michele",2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.,2 - Aging / Limited Modernization: Behind current standards (6 to 10 years old).,"3 - Lift & Shift Only: Virtualizable, but requires same OS/Network config (no refactoring).","2 - Limited: Requires a developer, risks are possible with the upgrade.",2 - Thick Client (Desktop): Mouse/Keyboard required; breaks on mobile screens.,2 - Partially Non Compliant: Some controls can't be implemented (Encryption).,1 - Incapable: Cannot restrict view/edit by role; all users see all data. No workaround.,2 - Simple User ID and Password: App-specific username/password (local DB); no password complexity rules.,1 - Best Efforts / No Commitment: No Disaster Recovery plan; rebuild from scratch required; data loss likely.,1 - Poor: Lacks meaningful monitoring tools for troubleshooting.,4 - Good Support: Common skill set (Java/.NET); multiple vendors available.,3 - Monitored Legacy: Scripts or batch jobs with error logging; alerts IT on failure.,5 - Standalone: No external dependencies; fully encapsulated utility.,3 - Export Import Capabilities: Users have access to an export capability.,,2/17/2026 16:18,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
Treeno,Energy and Resources,Colin Card,35.5,"Barrie, Glenn, Stuart, Ryan, Michele",2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.,2 - Aging / Limited Modernization: Behind current standards (6 to 10 years old).,"3 - Lift & Shift Only: Virtualizable, but requires same OS/Network config (no refactoring).","2 - Limited: Requires a developer, risks are possible with the upgrade.",2 - Thick Client (Desktop): Mouse/Keyboard required; breaks on mobile screens.,2 - Partially Non Compliant: Some controls can't be implemented (Encryption).,1 - Incapable: Cannot restrict view/edit by role; all users see all data. No workaround.,2 - Simple User ID and Password: App-specific username/password (local DB); no password complexity rules.,1 - Best Efforts / No Commitment: No Disaster Recovery plan; rebuild from scratch required; data loss likely.,1 - Poor: Lacks meaningful monitoring tools for troubleshooting.,4 - Good Support: Common skill set (Java/.NET); multiple vendors available.,3 - Monitored Legacy: Scripts or batch jobs with error logging; alerts IT on failure.,5 - Standalone: No external dependencies; fully encapsulated utility.,3 - Export Import Capabilities: Users have access to an export capability.,,2/17/2026 16:19,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
Value Navigator,Energy and Resources,Bruce Wilhelm,35.5,"Barrie, Glenn, Stuart, Ryan, Michele",2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.,2 - Aging / Limited Modernization: Behind current standards (6 to 10 years old).,"3 - Lift & Shift Only: Virtualizable, but requires same OS/Network config (no refactoring).","2 - Limited: Requires a developer, risks are possible with the upgrade.",2 - Thick Client (Desktop): Mouse/Keyboard required; breaks on mobile screens.,2 - Partially Non Compliant: Some controls can't be implemented (Encryption).,1 - Incapable: Cannot restrict view/edit by role; all users see all data. No workaround.,2 - Simple User ID and Password: App-specific username/password (local DB); no password complexity rules.,1 - Best Efforts / No Commitment: No Disaster Recovery plan; rebuild from scratch required; data loss likely.,1 - Poor: Lacks meaningful monitoring tools for troubleshooting.,4 - Good Support: Common skill set (Java/.NET); multiple vendors available.,3 - Monitored Legacy: Scripts or batch jobs with error logging; alerts IT on failure.,5 - Standalone: No external dependencies; fully encapsulated utility.,3 - Export Import Capabilities: Users have access to an export capability.,,2/17/2026 16:20,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
Water Analysis,Energy and Resources,Scott Weaver,50,"Barrie, Glenn, Stuart, Ryan, Michele",3 - Virtualized N-Tier: Standard Virtual Machines (Infrastructure as a Service); manual scaling.,3 - Transitional: Partially modernized (3-6 years old).,"3 - Lift & Shift Only: Virtualizable, but requires same OS/Network config (no refactoring).",3 - Moderate Customization: Some admin settings available; core logic requires developer.,3 - Browser (Non-Mobile): Browser-based but not responsive; difficult on tablets.,3 - Basic / Compliant: Security Controls met with manual effort.,3 - Unknown / Partial: Unknown status.,3 - Third Party / Mixed: Uses social login or disjointed directories; not fully integrated.,3 - Plan < 48 hrs: Documented Disaster Recovery plan exists; backups valid; not regularly tested. Recovery within 48 hours.,"3 - Adequate: Standard Troubleshooting tools, basic reporting, limited automation.",3 - Basic Support: Internal team supports it best-effort; documentation is patchy.,3 - Monitored Legacy: Scripts or batch jobs with error logging; alerts IT on failure.,3 - 10-20 Integrations: Moderate complexity; manageable with standard testing.,3 - Export Import Capabilities: Users have access to an export capability.,,2/17/2026 16:21,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
GeoVista,Energy and Resources,Ryan Morelli-AccountDeleted,36.5,"Dalton Stevens, Robert Danforth",2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.,2 - Aging / Limited Modernization: Behind current standards (6 to 10 years old).,"2 - Low Portability: Requires specific legacy OS or non-standard drivers; ""fragile"" move.","2 - Limited: Requires a developer, risks are possible with the upgrade.",2 - Thick Client (Desktop): Mouse/Keyboard required; breaks on mobile screens.,2 - Partially Non Compliant: Some controls can't be implemented (Encryption).,3 - Unknown / Partial: Unknown status.,2 - Simple User ID and Password: App-specific username/password (local DB); no password complexity rules.,2 - Manual Recovery > 48 hrs: Manual restoration from backup tapes/files; Recovery takes over 48 hours.,2 - Limited: Minimal alerting capabilities and troubleshooting is basic and reactive.,3 - Basic Support: Internal team supports it best-effort; documentation is patchy.,3 - Monitored Legacy: Scripts or batch jobs with error logging; alerts IT on failure.,4 - 1-10 Integrations: Low complexity; clear data flow diagrams exist.,3 - Export Import Capabilities: Users have access to an export capability.,Same as LogSlueth... have monthly updates.,3/20/2026 9:27,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
Land Claims GIS Mapping,Energy and Resources,Marilyn Lolacher,37,"Dalton Stevens, Robert Danforth",2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.,2 - Aging / Limited Modernization: Behind current standards (6 to 10 years old).,"2 - Low Portability: Requires specific legacy OS or non-standard drivers; ""fragile"" move.","2 - Limited: Requires a developer, risks are possible with the upgrade.",2 - Thick Client (Desktop): Mouse/Keyboard required; breaks on mobile screens.,3 - Basic / Compliant: Security Controls met with manual effort.,3 - Unknown / Partial: Unknown status.,2 - Simple User ID and Password: App-specific username/password (local DB); no password complexity rules.,3 - Plan < 48 hrs: Documented Disaster Recovery plan exists; backups valid; not regularly tested. Recovery within 48 hours.,1 - Poor: Lacks meaningful monitoring tools for troubleshooting.,3 - Basic Support: Internal team supports it best-effort; documentation is patchy.,"2 - Mixed / Inconsistent: Mix of Modern Interfaces and Legacy Batch, but monitoring is incomplete.",4 - 1-10 Integrations: Low complexity; clear data flow diagrams exist.,3 - Export Import Capabilities: Users have access to an export capability.,"Integrates to MARs, Access DB that we pull data out of... ISC supports MARS, ITD - ETL scripts pulls records from   ITDNAS-ERAppl-Mineral Rights-TLE Land Claims-Backend-TLELandClaimsBackend.accdb

Treaty Land Entitlements.

Land Claims GIS Mapping Description
TLE lands are currently stored in a Land Claims Microsoft Access Database and these tables of land are very important business area to Lands and Mineral Tenure.  There is a nightly script that ITD runs that picks up the latest land entries and updates the Land Claims feature class that is an active feature class in the GeoAtlas, MARS, IRIS (via REST service) and EGIS.  The Business Area that enters new data daily is Mineral Rights, LMT ",3/20/2026 9:19,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
Licensed Wells Archive,Energy and Resources,Jenni Gasson,35.5,,2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.,2 - Aging / Limited Modernization: Behind current standards (6 to 10 years old).,"3 - Lift & Shift Only: Virtualizable, but requires same OS/Network config (no refactoring).","2 - Limited: Requires a developer, risks are possible with the upgrade.",2 - Thick Client (Desktop): Mouse/Keyboard required; breaks on mobile screens.,2 - Partially Non Compliant: Some controls can't be implemented (Encryption).,1 - Incapable: Cannot restrict view/edit by role; all users see all data. No workaround.,2 - Simple User ID and Password: App-specific username/password (local DB); no password complexity rules.,1 - Best Efforts / No Commitment: No Disaster Recovery plan; rebuild from scratch required; data loss likely.,1 - Poor: Lacks meaningful monitoring tools for troubleshooting.,4 - Good Support: Common skill set (Java/.NET); multiple vendors available.,3 - Monitored Legacy: Scripts or batch jobs with error logging; alerts IT on failure.,5 - Standalone: No external dependencies; fully encapsulated utility.,3 - Export Import Capabilities: Users have access to an export capability.,Emma mentioned that this is very similar to Daily Drilling Archive so we gave this the same score. ,3/10/2026 15:30,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
LogSleuth,Energy and Resources,Ryan Morelli-AccountDeleted,36.5,"Dalton Stevens, Robert Danforth",2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.,2 - Aging / Limited Modernization: Behind current standards (6 to 10 years old).,"2 - Low Portability: Requires specific legacy OS or non-standard drivers; ""fragile"" move.","2 - Limited: Requires a developer, risks are possible with the upgrade.",2 - Thick Client (Desktop): Mouse/Keyboard required; breaks on mobile screens.,2 - Partially Non Compliant: Some controls can't be implemented (Encryption).,3 - Unknown / Partial: Unknown status.,2 - Simple User ID and Password: App-specific username/password (local DB); no password complexity rules.,2 - Manual Recovery > 48 hrs: Manual restoration from backup tapes/files; Recovery takes over 48 hours.,2 - Limited: Minimal alerting capabilities and troubleshooting is basic and reactive.,3 - Basic Support: Internal team supports it best-effort; documentation is patchy.,3 - Monitored Legacy: Scripts or batch jobs with error logging; alerts IT on failure.,4 - 1-10 Integrations: Low complexity; clear data flow diagrams exist.,3 - Export Import Capabilities: Users have access to an export capability.,,3/20/2026 9:09,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
MARS - Mineral Administration Registration System,Energy and Resources,Yanyan Han,50,Vendor,3 - Virtualized N-Tier: Standard Virtual Machines (Infrastructure as a Service); manual scaling.,3 - Transitional: Partially modernized (3-6 years old).,"3 - Lift & Shift Only: Virtualizable, but requires same OS/Network config (no refactoring).",3 - Moderate Customization: Some admin settings available; core logic requires developer.,3 - Browser (Non-Mobile): Browser-based but not responsive; difficult on tablets.,3 - Basic / Compliant: Security Controls met with manual effort.,3 - Unknown / Partial: Unknown status.,3 - Third Party / Mixed: Uses social login or disjointed directories; not fully integrated.,3 - Plan < 48 hrs: Documented Disaster Recovery plan exists; backups valid; not regularly tested. Recovery within 48 hours.,"3 - Adequate: Standard Troubleshooting tools, basic reporting, limited automation.",3 - Basic Support: Internal team supports it best-effort; documentation is patchy.,3 - Monitored Legacy: Scripts or batch jobs with error logging; alerts IT on failure.,3 - 10-20 Integrations: Moderate complexity; manageable with standard testing.,3 - Export Import Capabilities: Users have access to an export capability.,Vendor hosted applicaiton. we do not know the environment so default is 3's we can ask vendor or do a security audit to change this score.,3/19/2026 9:04,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
Preliminary Plans,Energy and Resources,Scott Weaver,36.8,"Sheng, Stuart and Ryan",2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.,3 - Transitional: Partially modernized (3-6 years old).,"3 - Lift & Shift Only: Virtualizable, but requires same OS/Network config (no refactoring).","2 - Limited: Requires a developer, risks are possible with the upgrade.",2 - Thick Client (Desktop): Mouse/Keyboard required; breaks on mobile screens.,3 - Basic / Compliant: Security Controls met with manual effort.,1 - Incapable: Cannot restrict view/edit by role; all users see all data. No workaround.,2 - Simple User ID and Password: App-specific username/password (local DB); no password complexity rules.,2 - Manual Recovery > 48 hrs: Manual restoration from backup tapes/files; Recovery takes over 48 hours.,2 - Limited: Minimal alerting capabilities and troubleshooting is basic and reactive.,3 - Basic Support: Internal team supports it best-effort; documentation is patchy.,1 - Unmonitored Legacy: Direct Database links or file drops; no logging; failures found by users.,5 - Standalone: No external dependencies; fully encapsulated utility.,3 - Export Import Capabilities: Users have access to an export capability.,"Access App - Permissions are based on folder access only, no user name and password. ",3/19/2026 13:05,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
RBC Receivables Link Application,Energy and Resources,Kim Olyowsky,43.3,"Martin, Leanne, Stuart",3 - Virtualized N-Tier: Standard Virtual Machines (Infrastructure as a Service); manual scaling.,2 - Aging / Limited Modernization: Behind current standards (6 to 10 years old).,"3 - Lift & Shift Only: Virtualizable, but requires same OS/Network config (no refactoring).",3 - Moderate Customization: Some admin settings available; core logic requires developer.,2 - Thick Client (Desktop): Mouse/Keyboard required; breaks on mobile screens.,4 - Strong: Automated patching; regular penetration testing; encryption at rest & transit.a,2 - Workaround: Requires extensive workaround to meet required security controls.,"1 - Shared User ID and Password: Custom, no ID verification; no individual tracking.",3 - Plan < 48 hrs: Documented Disaster Recovery plan exists; backups valid; not regularly tested. Recovery within 48 hours.,2 - Limited: Minimal alerting capabilities and troubleshooting is basic and reactive.,3 - Basic Support: Internal team supports it best-effort; documentation is patchy.,"2 - Mixed / Inconsistent: Mix of Modern Interfaces and Legacy Batch, but monitoring is incomplete.",5 - Standalone: No external dependencies; fully encapsulated utility.,2 - Limited Through Reports Only: Data is accessed by running one or more reports.,Used to populate the GoS hosted Database - SQL2019 as of March 2026,3/18/2026 14:29,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
SMAD - Saskatchewan Mineral Assessment Data,Energy and Resources,Colin Card,29.3,"Ryan, Stuart, Leanne",2 - Legacy Client-Server: Thick client dependency; heavy server footprint; hard to scale.,1 - Legacy / Obsolete: End of life or unsupported (10+ years old).,1 - Not Portable: Hard-coded to specific hardware or MAC/IP addresses.,1 - Cannot Customize: Rigid - code rewrite for minor business changes.,3 - Browser (Non-Mobile): Browser-based but not responsive; difficult on tablets.,3 - Basic / Compliant: Security Controls met with manual effort.,3 - Unknown / Partial: Unknown status.,2 - Simple User ID and Password: App-specific username/password (local DB); no password complexity rules.,2 - Manual Recovery > 48 hrs: Manual restoration from backup tapes/files; Recovery takes over 48 hours.,2 - Limited: Minimal alerting capabilities and troubleshooting is basic and reactive.,"1 - No Support (Hero): ""Hero"" support; no documentation.","2 - Mixed / Inconsistent: Mix of Modern Interfaces and Legacy Batch, but monitoring is incomplete.",4 - 1-10 Integrations: Low complexity; clear data flow diagrams exist.,3 - Export Import Capabilities: Users have access to an export capability.,,3/19/2026 8:57,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
SMDI - Saskatchewan Mineral Deposits Index,Energy and Resources,,,,,,,,,,,,,,,,,,Same as LogSlueth... have monthly updates.,3/20/2026 9:21,"Holtby, Stuart SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
Geoscience Data Management,Energy and Resources,Emma Zhou,,In Project,,,,,,,,,,,,,,,"In project, not scoring",3/19/2026 9:06,"Brittner, Ryan SBP",Item,sites/ArchitectureandPlanning/ITPlanning/Lists/Energy and Resources  Technical Fit Assessment
